S No.;Date;App Name;Usage (in Seconds);Launch Count;is Monitoring;is SystemApp;Package Name
1786;2020/03/19;Settings;0;1;Yes;No;com.android.settings
1787;2020/03/20;Messaging;240;7;Yes;No;com.android.mms
1788;2020/03/21;idealista (Uninstalled);7;1;Yes;No;com.idealista.android
1789;2020/03/21;Spotify;153;6;No;No;com.spotify.music
1790;2020/03/21;Medium;4;1;Yes;No;com.medium.reader
1791;2020/03/18;Contacts and dialer;61;2;Yes;No;com.android.contacts
1792;2020/03/19;idealista (Uninstalled);8;1;Yes;No;com.idealista.android
1793;2020/03/18;idealista (Uninstalled);4;1;Yes;No;com.idealista.android
1794;2020/03/20;Phone;961;1;Yes;No;com.android.incallui
1795;2020/03/18;Chrome;329;3;Yes;No;com.android.chrome
1796;2020/03/21;System UI;24;10;No;Yes;com.android.systemui
1797;2020/03/19;Chrome;858;27;Yes;No;com.android.chrome
1798;2020/03/20;System UI;15;3;No;Yes;com.android.systemui
1799;2020/03/19;DigiD;1;1;Yes;No;nl.rijksoverheid.digid.pub
1800;2020/03/20;Google;157;7;Yes;No;com.google.android.googlequicksearchbox
1801;2020/03/21;Google;469;19;Yes;No;com.google.android.googlequicksearchbox
