S No.;Date;App Name;Usage (in Seconds);Launch Count;is Monitoring;is SystemApp;Package Name
1482;2020/03/08;Instagram;1098;22;Yes;No;com.instagram.android
1483;2020/03/07;Contacts and dialer;31;8;Yes;No;com.android.contacts
1484;2020/03/06;Contacts and dialer;86;14;Yes;No;com.android.contacts
1485;2020/03/06;Google;82;9;Yes;No;com.google.android.googlequicksearchbox
1486;2020/03/07;Google;677;20;Yes;No;com.google.android.googlequicksearchbox
1487;2020/03/08;Google;183;11;Yes;No;com.google.android.googlequicksearchbox
1488;2020/03/07;Chrome;435;11;Yes;No;com.android.chrome
1489;2020/03/08;Chrome;269;12;Yes;No;com.android.chrome
1490;2020/03/06;Chrome;771;5;Yes;No;com.android.chrome
1491;2020/03/07;Mi Video;22;2;Yes;No;com.miui.videoplayer
1492;2020/03/08;Contacts and dialer;72;6;Yes;No;com.android.contacts
1493;2020/03/06;Word;113;2;Yes;No;com.microsoft.office.word
1494;2020/03/07;EL PAÍS;216;1;Yes;No;com.elpais.elpais
1495;2020/03/08;EL PAÍS;91;1;Yes;No;com.elpais.elpais
1496;2020/03/08;WhatsApp;4726;120;Yes;No;com.whatsapp
1497;2020/03/06;LinkedIn (Uninstalled);623;31;Yes;No;com.linkedin.android
1498;2020/03/06;Calculator;17;2;Yes;No;com.miui.calculator
1499;2020/03/06;Settings;3;1;No;Yes;com.xiaomi.misettings
1500;2020/03/07;LinkedIn (Uninstalled);906;50;Yes;No;com.linkedin.android
1501;2020/03/08;LinkedIn (Uninstalled);1458;59;Yes;No;com.linkedin.android
1502;2020/03/07;Phone;164;4;Yes;No;com.android.incallui
1503;2020/03/06;Phone;1917;6;Yes;No;com.android.incallui
1504;2020/03/06;Maps;179;3;Yes;No;com.google.android.apps.maps
1505;2020/03/07;Maps;64;6;Yes;No;com.google.android.apps.maps
1506;2020/03/07;WhatsApp;3814;134;Yes;No;com.whatsapp
1507;2020/03/06;WhatsApp;7211;201;Yes;No;com.whatsapp
1508;2020/03/08;Phone;1232;2;Yes;No;com.android.incallui
1509;2020/03/07;Spotify;591;22;No;No;com.spotify.music
1510;2020/03/08;Spotify;324;11;No;No;com.spotify.music
1511;2020/03/06;Gallery;28;1;Yes;No;com.miui.gallery
1512;2020/03/06;Browser;2288;4;Yes;No;com.android.browser
1513;2020/03/06;System launcher;416;82;No;Yes;com.miui.home
1514;2020/03/07;Gallery;85;3;Yes;No;com.miui.gallery
1515;2020/03/07;BlaBlaCar;35;1;Yes;No;com.comuto
1516;2020/03/08;Browser;1;2;Yes;No;com.android.browser
1517;2020/03/06;Spotify;25;2;No;No;com.spotify.music
1518;2020/03/06;Android system;4;3;No;Yes;android
1519;2020/03/07;Drive;15;1;Yes;No;com.google.android.apps.docs
1520;2020/03/06;Settings;14;2;Yes;No;com.android.settings
1521;2020/03/07;System launcher;979;145;No;Yes;com.miui.home
1522;2020/03/08;System launcher;1580;158;No;Yes;com.miui.home
1523;2020/03/06;Clock;43;5;Yes;No;com.android.deskclock
1524;2020/03/07;Gmail;552;49;Yes;No;com.google.android.gm
1525;2020/03/06;Gmail;389;29;Yes;No;com.google.android.gm
1526;2020/03/07;Clock;145;5;Yes;No;com.android.deskclock
1527;2020/03/08;Santander;22;2;Yes;No;es.bancosantander.apps
1528;2020/03/08;Clock;49;8;Yes;No;com.android.deskclock
1529;2020/03/08;Gmail;1302;59;Yes;No;com.google.android.gm
1530;2020/03/07;Santander;123;1;Yes;No;es.bancosantander.apps
1531;2020/03/06;Santander;44;2;Yes;No;es.bancosantander.apps
1532;2020/03/09;Package installer;12;1;No;Yes;com.miui.global.packageinstaller
1533;2020/03/09;Contacts and dialer;7;4;Yes;No;com.android.contacts
1534;2020/03/09;System UI;7;5;No;Yes;com.android.systemui
1535;2020/03/09;Twitter;11;1;Yes;No;com.twitter.android
1536;2020/03/09;Google Play services;3;2;No;Yes;com.google.android.gms
1537;2020/03/09;YouTube;116;3;Yes;No;com.google.android.youtube
1538;2020/03/09;Package installer;1;1;No;Yes;com.google.android.packageinstaller
1539;2020/03/09;AntiVirus (Uninstalled);7;1;Yes;No;com.antivirus
1540;2020/03/09;Tinder (Uninstalled);49;4;Yes;No;com.tinder
1541;2020/03/09;EL PAÍS;446;7;Yes;No;com.elpais.elpais
1542;2020/03/09;WhatsApp;4482;124;Yes;No;com.whatsapp
1543;2020/03/09;Google Play Store;39;1;Yes;No;com.android.vending
1544;2020/03/09;Manage calls;0;1;No;Yes;com.android.server.telecom
1545;2020/03/09;Calculator;432;13;Yes;No;com.miui.calculator
1546;2020/03/09;LinkedIn (Uninstalled);1940;71;Yes;No;com.linkedin.android
1547;2020/03/09;Camera;38;2;Yes;No;com.android.camera
1548;2020/03/09;Instagram;105;2;Yes;No;com.instagram.android
1549;2020/03/09;YourHour;13;1;Yes;No;com.mindefy.phoneaddiction.mobilepe
1550;2020/03/09;Cleaner;13;2;No;Yes;com.miui.cleanmaster
1551;2020/03/09;Phone;1031;4;Yes;No;com.android.incallui
1552;2020/03/09;Maps;269;5;Yes;No;com.google.android.apps.maps
1553;2020/03/09;Gallery;2;1;Yes;No;com.miui.gallery
1554;2020/03/09;Spotify;0;1;No;No;com.spotify.music
1555;2020/03/09;Settings;1;1;Yes;No;com.android.settings
1556;2020/03/09;Android system;11;6;No;Yes;android
1557;2020/03/09;Browser;205;8;Yes;No;com.android.browser
1558;2020/03/09;Drive;91;2;Yes;No;com.google.android.apps.docs
1559;2020/03/09;Chrome;95;4;Yes;No;com.android.chrome
1560;2020/03/09;Google;39;4;Yes;No;com.google.android.googlequicksearchbox
1561;2020/03/09;System launcher;644;115;No;Yes;com.miui.home
1562;2020/03/09;Santander;71;2;Yes;No;es.bancosantander.apps
1563;2020/03/09;Gmail;1276;67;Yes;No;com.google.android.gm
1564;2020/03/09;Files;6;1;No;Yes;com.android.documentsui
1565;2020/03/09;Clock;40;6;Yes;No;com.android.deskclock
1566;2020/03/10;Google;153;11;Yes;No;com.google.android.googlequicksearchbox
1567;2020/03/10;Browser;72;7;Yes;No;com.android.browser
1568;2020/03/10;Drive;194;3;Yes;No;com.google.android.apps.docs
1569;2020/03/10;System launcher;1160;134;No;Yes;com.miui.home
1570;2020/03/10;EL PAÍS;372;5;Yes;No;com.elpais.elpais
1571;2020/03/10;Maps;202;4;Yes;No;com.google.android.apps.maps
1572;2020/03/10;WhatsApp;5537;162;Yes;No;com.whatsapp
1573;2020/03/10;Tinder (Uninstalled);2949;23;Yes;No;com.tinder
1574;2020/03/10;Gmail;1179;50;Yes;No;com.google.android.gm
1575;2020/03/10;Clock;45;4;Yes;No;com.android.deskclock
1576;2020/03/10;Downloads;11;1;Yes;No;com.android.providers.downloads.ui
1577;2020/03/10;YourHour;19;1;Yes;No;com.mindefy.phoneaddiction.mobilepe
1578;2020/03/10;Santander;35;2;Yes;No;es.bancosantander.apps
1579;2020/03/10;Android system;6;3;No;Yes;android
1580;2020/03/10;Twitter;38;1;Yes;No;com.twitter.android
1581;2020/03/10;小米文档查看器（WPS定制）;3;2;No;Yes;cn.wps.xiaomi.abroad.lite
1582;2020/03/10;Calculator;132;4;Yes;No;com.miui.calculator
1583;2020/03/10;Chrome;660;13;Yes;No;com.android.chrome
1584;2020/03/10;Camera;51;2;Yes;No;com.android.camera
1585;2020/03/10;Spotify;86;7;No;No;com.spotify.music
1586;2020/03/10;Gallery;3;1;Yes;No;com.miui.gallery
1587;2020/03/10;LinkedIn (Uninstalled);1266;47;Yes;No;com.linkedin.android
1588;2020/03/10;Instagram;195;4;Yes;No;com.instagram.android
1589;2020/03/10;Package installer;1;1;No;Yes;com.google.android.packageinstaller
1590;2020/03/10;Phone;249;2;Yes;No;com.android.incallui
1591;2020/03/10;System UI;36;12;No;Yes;com.android.systemui
1592;2020/03/10;Calendar;68;2;Yes;No;com.google.android.calendar
1593;2020/03/11;WhatsApp;4487;162;Yes;No;com.whatsapp
1594;2020/03/11;Twitter;465;8;Yes;No;com.twitter.android
1595;2020/03/11;Google;227;10;Yes;No;com.google.android.googlequicksearchbox
1596;2020/03/11;Chrome;303;7;Yes;No;com.android.chrome
1597;2020/03/11;Browser;115;3;Yes;No;com.android.browser
1598;2020/03/11;Calculator;77;9;Yes;No;com.miui.calculator
1599;2020/03/11;Tinder (Uninstalled);229;8;Yes;No;com.tinder
1600;2020/03/11;Maps;134;6;Yes;No;com.google.android.apps.maps
1601;2020/03/11;System launcher;965;118;No;Yes;com.miui.home
1602;2020/03/11;EL PAÍS;408;9;Yes;No;com.elpais.elpais
1603;2020/03/11;idealista (Uninstalled);5;2;Yes;No;com.idealista.android
1604;2020/03/11;Santander;162;7;Yes;No;es.bancosantander.apps
1605;2020/03/11;Spotify;276;5;No;No;com.spotify.music
1606;2020/03/11;Clock;27;3;Yes;No;com.android.deskclock
1607;2020/03/11;Settings;1;1;Yes;No;com.android.settings
1608;2020/03/11;Gmail;687;37;Yes;No;com.google.android.gm
1609;2020/03/11;System UI;9;7;No;Yes;com.android.systemui
1610;2020/03/11;LinkedIn (Uninstalled);1564;64;Yes;No;com.linkedin.android
1611;2020/03/11;Instagram;372;4;Yes;No;com.instagram.android
1612;2020/03/11;Calendar;174;3;Yes;No;com.google.android.calendar
